จังหวัด, PM2.5, PM2.5 เฉลี่ย24ชั่วโมงต่อเนื่อง, เวลา
ปัตตานี,16.216142923688693,17.590018413220132,2026-01-17 02:00:00
มหาสารคาม,82.65118664176353,57.929951005797925,2026-01-17 02:00:00
สมุทรสาคร,22.18628399561094,48.811668085183186,2026-01-17 02:00:00
ระยอง,25.119705668189287,44.73145776864754,2026-01-17 02:00:00
ระนอง,29.31404583974996,18.717223710756286,2026-01-17 02:00:00
สุพรรณบุรี,40.81476644468603,55.64661635905162,2026-01-17 02:00:00
สิงห์บุรี,74.94641051947212,69.239558627329,2026-01-17 02:00:00
ชัยภูมิ,57.25444623635135,51.45137457430331,2026-01-17 02:00:00
อุตรดิตถ์,52.789029922260745,47.181004841904894,2026-01-17 02:00:00
นราธิวาส,16.749199964478677,18.38379029565229,2026-01-17 02:00:00
แพร่,49.48626355373678,36.28062577827347,2026-01-17 02:00:00
ยโสธร,77.3107548631373,45.778458895957954,2026-01-17 02:00:00
ปราจีนบุรี,39.994212109200305,53.33823813803193,2026-01-17 02:00:00
อุทัยธานี,48.621807558517965,52.305452534249724,2026-01-17 02:00:00
เชียงใหม่,13.977355303889903,20.843669591775683,2026-01-17 02:00:00
ปทุมธานี,27.803712029270166,53.83192016970736,2026-01-17 02:00:00
ประจวบคีรีขันธ์,25.721448313173337,42.299335100196,2026-01-17 02:00:00
พังงา,19.5690201838696,18.489430933124424,2026-01-17 02:00:00
เพชรบูรณ์,56.84457820844171,51.98329407391784,2026-01-17 02:00:00
พะเยา,30.687886185786482,28.605445536838758,2026-01-17 02:00:00
ลพบุรี,58.72314797876201,60.54309748482177,2026-01-17 02:00:00
ชุมพร,30.934318051332742,18.03283019018,2026-01-17 02:00:00
นครราชสีมา,49.34721251903749,51.06395494781763,2026-01-17 02:00:00
พัทลุง,14.711148090568889,19.47009408605129,2026-01-17 02:00:00
ฉะเชิงเทรา,32.670940487775894,54.28998490420235,2026-01-17 02:00:00
ตาก,35.25846853987237,39.38429195238893,2026-01-17 02:00:00
นครนายก,37.17891760000697,45.533180525663674,2026-01-17 02:00:00
พิษณุโลก,61.5423410376149,52.93393246766212,2026-01-17 02:00:00
นนทบุรี,23.465060179928575,50.772416762504356,2026-01-17 02:00:00
สุโขทัย,39.06032592863025,44.174404614286495,2026-01-17 02:00:00
กรุงเทพมหานคร,21.07428932391694,51.653619088772395,2026-01-17 02:00:00
มุกดาหาร,68.59789160866757,44.52976956697673,2026-01-17 02:00:00
สุราษฎร์ธานี,23.079288246413004,19.19360420161264,2026-01-17 02:00:00
ราชบุรี,28.696032064286737,48.35698037152461,2026-01-17 02:00:00
ตราด,25.934942336487165,43.36890786221584,2026-01-17 02:00:00
