จังหวัด, อำเภอ, ตำบล, PM2.5, PM2.5 เฉลี่ย24ชั่วโมงต่อเนื่อง, เวลา
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,18.650979614257814,20.744363325789582,2026-01-17 02:00:00
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,20.460269325657894,19.453761026733677,2026-01-17 02:00:00
กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,20.381136213030135,20.41211581499005,2026-01-17 02:00:00
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,18.934871673583984,20.40951092952888,2026-01-17 02:00:00
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,20.106983947753907,19.451359152170923,2026-01-17 02:00:00
กรุงเทพมหานคร,บางพลัด,บางบำหรุ,19.737413194444443,19.45468226591917,2026-01-17 02:00:00
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,19.467456817626953,18.81354037014666,2026-01-17 02:00:00
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,19.856244405110676,19.373890241721185,2026-01-17 02:00:00
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,18.694869995117188,37.124327193703586,2026-01-17 02:00:00
กรุงเทพมหานคร,สายไหม,คลองถนน,22.536058698381698,20.535158113305908,2026-01-17 02:00:00
กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,19.91022644042969,19.387955394125697,2026-01-17 02:00:00
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,20.824613131009617,19.603384066720547,2026-01-17 02:00:00
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,18.726006825764973,19.56012373830846,2026-01-17 02:00:00
กรุงเทพมหานคร,บางแค,บางแค,19.675479595477764,19.642680675541776,2026-01-17 02:00:00
กรุงเทพมหานคร,ดอนเมือง,สนามบิน,23.342568359375,19.76748903608242,2026-01-17 02:00:00
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,20.55891535832332,18.88760543675323,2026-01-17 02:00:00
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,18.824674606323242,20.89728309738526,2026-01-17 02:00:00
กรุงเทพมหานคร,สะพานสูง,สะพานสูง,19.90147501627604,20.78977145442603,2026-01-17 02:00:00
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,19.098317464192707,25.006887945588307,2026-01-17 02:00:00
กรุงเทพมหานคร,บางนา,บางนาเหนือ,18.86406135559082,21.14209894531248,2026-01-17 02:00:00
กรุงเทพมหานคร,หนองจอก,โคกแฝด,23.63677781628024,21.443376398006787,2026-01-17 02:00:00
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,18.837001255580358,19.622455981058035,2026-01-17 02:00:00
กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,21.73502197265625,19.948072767050746,2026-01-17 02:00:00
กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,21.006103515625,19.51206873611736,2026-01-17 02:00:00
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,21.608034880264945,19.650151006126325,2026-01-17 02:00:00
กรุงเทพมหานคร,บางบอน,บางบอนเหนือ,19.920271555582683,20.952307607620636,2026-01-17 02:00:00
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,18.785911560058594,39.212778578363974,2026-01-17 02:00:00
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,18.722145080566406,36.17761569586694,2026-01-17 02:00:00
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,18.4903564453125,19.61494476816076,2026-01-17 02:00:00
กรุงเทพมหานคร,สายไหม,สายไหม,23.55107938326322,20.236563151249264,2026-01-17 02:00:00
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,18.547576904296875,19.256071080595742,2026-01-17 02:00:00
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,18.55216326032366,19.824353692147394,2026-01-17 02:00:00
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,18.790813446044922,21.014092742231497,2026-01-17 02:00:00
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,20.332860532014266,21.023031902472518,2026-01-17 02:00:00
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,24.012723482572117,21.023601608930203,2026-01-17 02:00:00
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,19.086438860212052,19.697752544016264,2026-01-17 02:00:00
กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,20.71984169699929,19.52880473391659,2026-01-17 02:00:00
กรุงเทพมหานคร,จอมทอง,จอมทอง,18.584879948542667,19.3177694342123,2026-01-17 02:00:00
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,18.62481117248535,19.60451448353862,2026-01-17 02:00:00
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,23.570836776342148,20.74988042707742,2026-01-17 02:00:00
กรุงเทพมหานคร,คลองสามวา,บางชัน,21.69324151400862,20.812293990565014,2026-01-17 02:00:00
กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,20.47943115234375,19.630038060189037,2026-01-17 02:00:00
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,22.75711466471354,20.661919622718703,2026-01-17 02:00:00
กรุงเทพมหานคร,บางบอน,คลองบางพราน,19.319146292550222,20.649830341056838,2026-01-17 02:00:00
กรุงเทพมหานคร,จตุจักร,จตุจักร,20.403560862821692,19.91651947713459,2026-01-17 02:00:00
กรุงเทพมหานคร,บางคอแหลม,บางโคล่,18.676492544320915,19.72185272558731,2026-01-17 02:00:00
กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,19.168772379557293,19.507731938519065,2026-01-17 02:00:00
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,18.880934143066405,19.12199889032228,2026-01-17 02:00:00
กรุงเทพมหานคร,สะพานสูง,ทับช้าง,19.52716573079427,20.499429704993073,2026-01-17 02:00:00
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,18.64935557047526,20.94662058228297,2026-01-17 02:00:00
กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,18.926944732666016,19.900231635052133,2026-01-17 02:00:00
กรุงเทพมหานคร,จตุจักร,จอมพล,20.39661476828835,19.846102858338632,2026-01-17 02:00:00
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,18.762372334798176,20.990678751060283,2026-01-17 02:00:00
กรุงเทพมหานคร,บางรัก,สี่พระยา,18.638320922851562,20.732840079024445,2026-01-17 02:00:00
กรุงเทพมหานคร,บางแค,บางไผ่,20.682286580403645,19.77764261071411,2026-01-17 02:00:00
กรุงเทพมหานคร,จตุจักร,ลาดยาว,20.760114669799805,19.687864482067994,2026-01-17 02:00:00
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,21.395395914713543,19.806840722486857,2026-01-17 02:00:00
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,18.539222717285156,19.63367688724898,2026-01-17 02:00:00
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,18.628841400146484,20.748604039968725,2026-01-17 02:00:00
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,19.13903045654297,28.28797332370586,2026-01-17 02:00:00
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,19.14228195440574,19.251053553292447,2026-01-17 02:00:00
กรุงเทพมหานคร,หนองจอก,ลำผักชี,23.221894697709516,20.550508543065604,2026-01-17 02:00:00
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,19.058561325073242,19.596971998176468,2026-01-17 02:00:00
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,19.88702138264974,19.321046374073116,2026-01-17 02:00:00
กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,18.85044626089243,19.429840462014614,2026-01-17 02:00:00
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,20.79840087890625,18.973562010239558,2026-01-17 02:00:00
กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,21.49121311732701,20.049433258394654,2026-01-17 02:00:00
กรุงเทพมหานคร,ธนบุรี,บุคคโล,18.494848887125652,19.60443458842918,2026-01-17 02:00:00
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,22.077984434185606,19.91880777094035,2026-01-17 02:00:00
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,20.33321019222862,19.09813383019032,2026-01-17 02:00:00
กรุงเทพมหานคร,พญาไท,พญาไท,19.60262891981337,19.64297478797869,2026-01-17 02:00:00
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,22.28792490857713,19.734974115237065,2026-01-17 02:00:00
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,20.4560693359375,19.52749364949555,2026-01-17 02:00:00
กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,19.952337646484374,20.358170091955966,2026-01-17 02:00:00
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,18.735443115234375,19.8026580139184,2026-01-17 02:00:00
